PropertyName,Address,Rent,Arrangement,Latitude,Longitude,URL
セリオ落合東中野,東京都中野区東中野５,10,1K,35.7084721,139.689223,https://suumo.jp/?vos=op0014adwstw099000000zzz_01xmsyt111-xe_aud-381243375587:kwd-13279118830:cr-552805620393:sl-:adg-30983744560:dev-c:acc-6530195222:cam-385940440&gclsrc=aw.ds&gad=1&gclid=CjwKCAjwkeqkBhAnEiwA5U-uM0kvzgyzwIVH7Q3URI09yrGZ-p8iecUZxm4H9JavYt9NJaU9y26JEBoCtNEQAvD_BwE
セリオ落合東中野,東京都中野区東中野５,10,1K,35.7084721,139.689223,https://suumo.jp/?vos=op0014adwstw099000000zzz_01xmsyt111-xe_aud-381243375587:kwd-13279118830:cr-552805620393:sl-:adg-30983744560:dev-c:acc-6530195222:cam-385940440&gclsrc=aw.ds&gad=1&gclid=CjwKCAjwkeqkBhAnEiwA5U-uM0kvzgyzwIVH7Q3URI09yrGZ-p8iecUZxm4H9JavYt9NJaU9y27JEBoCtNEQAvD_BwE
セリオ落合東中野,東京都中野区東中野５,10,1K,35.7084721,139.689223,https://suumo.jp/?vos=op0014adwstw099000000zzz_01xmsyt111-xe_aud-381243375587:kwd-13279118830:cr-552805620393:sl-:adg-30983744560:dev-c:acc-6530195222:cam-385940440&gclsrc=aw.ds&gad=1&gclid=CjwKCAjwkeqkBhAnEiwA5U-uM0kvzgyzwIVH7Q3URI09yrGZ-p8iecUZxm4H9JavYt9NJaU9y28JEBoCtNEQAvD_BwE
セリオ落合東中野,東京都中野区東中野５,10,1K,35.7084721,139.689223,https://suumo.jp/?vos=op0014adwstw099000000zzz_01xmsyt111-xe_aud-381243375587:kwd-13279118830:cr-552805620393:sl-:adg-30983744560:dev-c:acc-6530195222:cam-385940440&gclsrc=aw.ds&gad=1&gclid=CjwKCAjwkeqkBhAnEiwA5U-uM0kvzgyzwIVH7Q3URI09yrGZ-p8iecUZxm4H9JavYt9NJaU9y29JEBoCtNEQAvD_BwE
セリオ落合東中野,東京都中野区東中野５,18.5,2LDK,35.7084721,139.689223,https://suumo.jp/?vos=op0014adwstw099000000zzz_01xmsyt111-xe_aud-381243375587:kwd-13279118830:cr-552805620393:sl-:adg-30983744560:dev-c:acc-6530195222:cam-385940440&gclsrc=aw.ds&gad=1&gclid=CjwKCAjwkeqkBhAnEiwA5U-uM0kvzgyzwIVH7Q3URI09yrGZ-p8iecUZxm4H9JavYt9NJaU9y30JEBoCtNEQAvD_BwE
アーバイル落合ツインドレスモーダ,東京都中野区上高田４,8.9,1K,35.7141723,139.677738,https://suumo.jp/?vos=op0014adwstw099000000zzz_01xmsyt111-xe_aud-381243375587:kwd-13279118830:cr-552805620393:sl-:adg-30983744560:dev-c:acc-6530195222:cam-385940440&gclsrc=aw.ds&gad=1&gclid=CjwKCAjwkeqkBhAnEiwA5U-uM0kvzgyzwIVH7Q3URI09yrGZ-p8iecUZxm4H9JavYt9NJaU9y31JEBoCtNEQAvD_BwE
アーバイル落合ツインドレスモーダ,東京都中野区上高田４,13,1LDK,35.7141723,139.677738,https://suumo.jp/?vos=op0014adwstw099000000zzz_01xmsyt111-xe_aud-381243375587:kwd-13279118830:cr-552805620393:sl-:adg-30983744560:dev-c:acc-6530195222:cam-385940440&gclsrc=aw.ds&gad=1&gclid=CjwKCAjwkeqkBhAnEiwA5U-uM0kvzgyzwIVH7Q3URI09yrGZ-p8iecUZxm4H9JavYt9NJaU9y32JEBoCtNEQAvD_BwE
パークハウス東中野リヴゴーシュ,東京都中野区東中野５,14.3,1K,35.7084721,139.689223,https://suumo.jp/?vos=op0014adwstw099000000zzz_01xmsyt111-xe_aud-381243375587:kwd-13279118830:cr-552805620393:sl-:adg-30983744560:dev-c:acc-6530195222:cam-385940440&gclsrc=aw.ds&gad=1&gclid=CjwKCAjwkeqkBhAnEiwA5U-uM0kvzgyzwIVH7Q3URI09yrGZ-p8iecUZxm4H9JavYt9NJaU9y33JEBoCtNEQAvD_BwE
パークハウス東中野リヴゴーシュ,東京都中野区東中野５,18.3,1LDK,35.7084721,139.689223,https://suumo.jp/?vos=op0014adwstw099000000zzz_01xmsyt111-xe_aud-381243375587:kwd-13279118830:cr-552805620393:sl-:adg-30983744560:dev-c:acc-6530195222:cam-385940440&gclsrc=aw.ds&gad=1&gclid=CjwKCAjwkeqkBhAnEiwA5U-uM0kvzgyzwIVH7Q3URI09yrGZ-p8iecUZxm4H9JavYt9NJaU9y34JEBoCtNEQAvD_BwE
パークハウス東中野リヴゴーシュ,東京都中野区東中野５,18.3,1LDK,35.7084721,139.689223,https://suumo.jp/?vos=op0014adwstw099000000zzz_01xmsyt111-xe_aud-381243375587:kwd-13279118830:cr-552805620393:sl-:adg-30983744560:dev-c:acc-6530195222:cam-385940440&gclsrc=aw.ds&gad=1&gclid=CjwKCAjwkeqkBhAnEiwA5U-uM0kvzgyzwIVH7Q3URI09yrGZ-p8iecUZxm4H9JavYt9NJaU9y35JEBoCtNEQAvD_BwE
